PROJ_NAME	PROJ_LOC	LOCA_ID	LOCA_TYPE	LOCA_FDEO	LOCA_GL	LOCA_NATE	LOCA_NATN	LOCA_LOCA	PROJ_ID	GEOL_TOP	GEOL_SUW	GEOL_TOP	GEOL_SUW	GEOL_SUW_LE	GEOL_SUW_BE	GEOL_SUW_HE	GEOL_SU	GEOL_SU	GEOL_SU_LE	GEOL_SU_BE	GEOL_SU_HE	GEOL_SU_LE	GEOL_SU_BE	GEOL_SU_HE	LOCA_ID	SCPT_DPTH	SCPT_RES	SCPT_FRES	SCPT_PWP2	SCPT_QT	SCPT_BDEN	SCPT_CPO	SCPT_CPOD	SCPT_QNET	LOCA_ID	IVAN_DPTH	IVAN_TYPE	IVAN_IVAN	IVAN_IVAR	LOCA_ID	IDEN_DPTH	IDEN_MC	IDEN_IDEN	LOCA_ID	SPEC_DPTH	TRIT_CU	LOCA_ID	SPEC_DPTH	LLPL_LL	LLPL_PL	LLPL_PI	LLPL_LI
x	x	x	x	ft	ft	ft	ft	x	x	ft	pcf	m	kN/m3	kN/m3	kN/m3	kN/m3	psf	kPa	psf	psf	psf	kPa	kPa	kPa	x	m	MPa	MPa	kPa	MPa	pcf	kPa	kPa	kPa	x	in	x	psf	ksf	x	ft	%	pcf	x	ft	ksf	x	ft	%	%	%	%
PROJ_NAME_x	PROJ_LOC_x	LOCA_ID_x	LOCA_TYPE_x	LOCA_FDEO_ft	LOCA_GL_ft	LOCA_NATE_ft	LOCA_NATN_ft	LOCA_LOCA_x	PROJ_ID_x	GEOL_TOP_ft	GEOL_SUW_pcf	GEOL_TOP_m	GEOL_SUW_kN/m3	GEOL_SUW_LE_kN/m3	GEOL_SUW_BE_kN/m3	GEOL_SUW_HE_kN/m3	GEOL_SU_psf	GEOL_SU_kPa	GEOL_SU_LE_psf	GEOL_SU_BE_psf	GEOL_SU_HE_psf	GEOL_SU_LE_kPa	GEOL_SU_BE_kPa	GEOL_SU_HE_kPa	LOCA_ID_x	SCPT_DPTH_m	SCPT_RES_MPa	SCPT_FRES_MPa	SCPT_PWP2_kPa	SCPT_QT_MPa	SCPT_BDEN_pcf	SCPT_CPO_kPa	SCPT_CPOD_kPa	SCPT_QNET_kPa	LOCA_ID_x	IVAN_DPTH_in	IVAN_TYPE_x	IVAN_IVAN_psf	IVAN_IVAR_ksf	LOCA_ID_x	IDEN_DPTH_ft	IDEN_MC_%	IDEN_IDEN_pcf	LOCA_ID_x	SPEC_DPTH_ft	TRIT_CU_ksf	LOCA_ID_x	SPEC_DPTH_ft	LLPL_LL_%	LLPL_PL_%	LLPL_PI_%	LLPL_LI_%
Argos	Green Canyon	MD2-BH-21A	BH	217	"-5,294"	2518670.00	9859175.00																																													
		MD2-BH-21B	BH	400	"-5,296"	2518689.00	9859211.00																																													
		MD2-BH-24A	BH	490	"-5,684"	2517928.00	9856240.00																																													
		MD2-BH-03A	BH	537	"-5,224"	2517576.00	9857822.00																																													
		MD2-BH-03B	BH	1179	"-5,221"	2517532.00	9857827.00																																													
		MD2-BH-01A	BH	820	"-5,835"	2519824.00	9857809.00																																													
		MD2-BH-29A	BH	489	"-6,016"	2510876.00	9850020.00																																													
		MD2-BH-29B	BH	486	"-6,023"	2510926.00	9850037.00																																													
		MD2-BH-28A	BH	112	"-5,498"	2509717.00	9851406.00																																													
		MD2-BH-28B	BH	419	-5500	2509681.00	9851394.00																																													
		MD2-BH-20A	BH	282	-6322	2523372.00	9858503.00																																													
		MD2-BH-31A	BH	484	-4284	2512542.00	9876094.00																																													
