PROJ_NAME	PROJ_LOC	LOCA_ID	LOCA_TYPE	LOCA_FDEO	LOCA_GL	LOCA_NATE	LOCA_NATN	PROJ_ID	GEOL_TOP	GEOL_SUW	GEOL_TOP	GEOL_SUW	GEOL_SUW_LE	GEOL_SUW_BE	GEOL_SUW_HE	GEOL_SU	GEOL_SU	GEOL_SU_LE	GEOL_SU_BE	GEOL_SU_HE	GEOL_SU_LE	GEOL_SU_BE	GEOL_SU_HE	LOCA_ID	SCPT_DPTH	SCPT_RES	SCPT_FRES	SCPT_PWP2	SCPT_QT	SCPT_BDEN	SCPT_CPO	SCPT_CPOD	SCPT_QNET	LOCA_ID	IVAN_DPTH	IVAN_TYPE	IVAN_IVAN	IVAN_IVAR	LOCA_ID	IDEN_DPTH	IDEN_MC	LOCA_ID	SPEC_DPTH	TRIT_CU	LOCA_ID	SPEC_DPTH	LLPL_LL	LLPL_PL	LLPL_PI
x	x	x	x	ft	ft	ft	ft	x	ft	pcf	m	kN/m3	kN/m3	kN/m3	kN/m3	psf	kPa	psf	psf	psf	kPa	kPa	kPa	x	m	MPa	MPa	kPa	MPa	pcf	kPa	kPa	kPa	x	x	x	ksf	ksf	x	ft	%	x	ft	kPa	x	ft	%	%	%
PROJ_NAME_x	PROJ_LOC_x	LOCA_ID_x	LOCA_TYPE_x	LOCA_FDEO_ft	LOCA_GL_ft	LOCA_NATE_ft	LOCA_NATN_ft	PROJ_ID_x	GEOL_TOP_ft	GEOL_SUW_pcf	GEOL_TOP_m	GEOL_SUW_kN/m3	GEOL_SUW_LE_kN/m3	GEOL_SUW_BE_kN/m3	GEOL_SUW_HE_kN/m3	GEOL_SU_psf	GEOL_SU_kPa	GEOL_SU_LE_psf	GEOL_SU_BE_psf	GEOL_SU_HE_psf	GEOL_SU_LE_kPa	GEOL_SU_BE_kPa	GEOL_SU_HE_kPa	LOCA_ID_x	SCPT_DPTH_m	SCPT_RES_MPa	SCPT_FRES_MPa	SCPT_PWP2_kPa	SCPT_QT_MPa	SCPT_BDEN_pcf	SCPT_CPO_kPa	SCPT_CPOD_kPa	SCPT_QNET_kPa	LOCA_ID_x	IVAN_DPTH_x	IVAN_TYPE_x	IVAN_IVAN_ksf	IVAN_IVAR_ksf	LOCA_ID_x	IDEN_DPTH_ft	IDEN_MC_%	LOCA_ID_x	SPEC_DPTH_ft	TRIT_CU_kPa	LOCA_ID_x	SPEC_DPTH_ft	LLPL_LL_%	LLPL_PL_%	LLPL_PI_%
Kaskida	Keatheley Canyon	SFZ-BC-14(1)	BC	1.58	"?6,027.4"	1771509.900	9675433.400	2023a	0	25.5	0	4	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	CPT-72L	19.96	0.72			0.84			183.44	656.56	FP-JPC-61	1.333333333	MV	49.8		FP-JPC-61	1.3	120				FP-JPC-61	1.3	106	33	73
		SFZ-BC-14(2)	BC	1.58	"?6,027.0"	1771487.800	9675436.100	2023a	6	25.5	1.8	4	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	CPT-72L	19.97	0.72			0.83			183.52	646.48	FP-JPC-61	4.333333333	MV	45.6		FP-JPC-61	4.3	117				FP-JPC-61	4.3	109	34	75
		KMB-BC-28	BC	2	"?6,124.0"	1773429.300	9692382.100	2023a	19	40.1	5.8	6.3	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	CPT-72L	19.98	0.72			0.83			183.6	646.4	FP-JPC-61	7.333333333	MV	95.4		FP-JPC-61	7.3	67				FP-JPC-61	7.3	75	33	42
		KMB-BC-32	BC	1.92	"?5,961.0"	1768191.500	9692491.200	2023a	19	27.7	5.8	4.3	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	CPT-72L	19.99	0.72			0.83			183.68	646.32	FP-JPC-61	10.33333333	MV	60.2		FP-JPC-61	10.3	100				FP-JPC-61	10.3	94	36	58
		KMB-BC-37	BC	2.17	"?6,120.9"	1775875.300	9693132.400	2023a	60	47.8	18.3	7.5	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	CPT-72L	20	0.73			0.84			183.76	656.24	FP-JPC-61	13.33333333	MV	72.6		FP-JPC-61	13.3	73				FP-JPC-61	13.3	66	23	43
		KMB-BC-41	BC	2.17	"?5,918.7"	1780001.100	9692852.100	2023a	150	47.8	45.7	7.5	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	CPT-72L	20	0.73			0.84			183.85	656.15	FP-JPC-61	16.33333333	MV	100.6		FP-JPC-61	16.3	66				FP-JPC-61	16.3	63	29	34
		KMB-BC-43	BC	2.17	"?5,996.0"	1779387.600	9693100.900	2023b	#N/A	#N/A	0	#N/A	3.4	4	4.6	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	CPT-72L	20.01	0.73			0.84			183.93	656.07	FP-JPC-61	19.33333333	MV	146.2		FP-JPC-61	19.3	102				FP-JPC-61	19.3	102	31	71
		NEG-BC-49	BC	2.5	"?5,923.0"	1781337.700	9691624.700	2023b	#N/A	#N/A	0.5	#N/A	3.7	4.4	5.1	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	CPT-72L	20.02	0.73			0.84			184	656	FP-JPC-61	22.33333333	MV	153.5		FP-JPC-61	22.3	90				FP-JPC-61	22.3	93	34	59
		KMB-BC-52	BC	1.75	"?6,196.7"	1780016.600	9687768.900	2023b	#N/A	#N/A	1.8	#N/A	3.4	4	4.6	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	CPT-72L	20.03	0.73			0.84			184.08	655.92	FP-JPC-61	25.33333333	MV	152.5		FP-JPC-61	25.3	89				FP-JPC-61	23.65	101	27	74
		FP-CPT-71(B)	CPT	30.5	"?5,443.0"	1762297.100	9683579.400	2023b	#N/A	#N/A	5.8	#N/A	5.4	6.3	7.2	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	CPT-72L	20.04	0.73			0.84			184.17	655.83	FP-JPC-61	28.33333333	MV	159.7		FP-JPC-61	28.3	103				FP-JPC-61	25.3	91	29	62
		FP-CPT-72	CPT	50	"?5,452.0"	1762311.600	9683448.700	2023b	#N/A	#N/A	5.8	#N/A	3.7	4.3	5	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	CPT-72L	20.05	0.74			0.85			184.25	665.75	FP-JPC-61	31.33333333	MV	177.9		FP-JPC-61	31.3	90				FP-JPC-61	28.3	101	31	70
		KMB-CPT-73	CPT	30.5	"?6,196.7"	1780027.300	9687806.500	2023b	#N/A	#N/A	18.3	#N/A	6.4	7.5	8.6	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	CPT-72L	20.06	0.74			0.85			184.33	665.67	FP-JPC-61	34.33333333	MV	253.6		FP-JPC-61	34.3	88				FP-JPC-61	31.3	98	31	67
		KMB-CPT-74	CPT	50	"?6,196.8"	1780013.500	9687668.800	2023a	0	#N/A	0	#N/A	#N/A	#N/A	#N/A	10.4	0.5	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	CPT-72L	20.07	0.75			0.85			184.42	665.58	FP-JPC-61	37.33333333	MV	197.2		FP-JPC-61	37.3	79				FP-JPC-61	34.3	106	30	76
		SWG-GC-13	GC	5	"?5,725.5"	1758359.900	9690455.400	2023a	1.6	#N/A	0.5	#N/A	#N/A	#N/A	#N/A	83.5	4	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	CPT-72L	20.07	0.75			0.85			184.49	665.51	FP-JPC-61	40.33333333	MV	218		FP-JPC-61	40.3	71				FP-JPC-61	37.3	87	27	60
		SWG-GC-17	GC	3.38	"?5,824.4"	1759696.300	9685625.700	2023a	4.9	#N/A	1.5	#N/A	#N/A	#N/A	#N/A	41.8	2	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	CPT-72L	20.08	0.75			0.85			184.57	665.43	FP-JPC-61	43.33333333	MV	222.4		FP-JPC-61	43.3	60				FP-JPC-61	40.3	80	28	52
		SWG-GC-20	GC	2.69	"?5,842.0"	1755080.000	9682224.000	2023a	9.8	#N/A	3	#N/A	#N/A	#N/A	#N/A	62.6	3	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	CPT-72L	20.09	0.75			0.86			184.65	675.35	FP-JPC-61	46.33333333	MV	249.1		FP-JPC-61	46.3	63				FP-JPC-61	43.3	70	28	42
		KMB-GC-22	GC	5.34	"?5,882.0"	1766242.800	9683790.000	2023a	32.8	#N/A	10	#N/A	#N/A	#N/A	#N/A	187.9	9	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	CPT-72L	20.1	0.75			0.86			184.74	675.26	FP-JPC-61	49.33333333	MV	232.5		FP-JPC-61	49.3	55				FP-JPC-61	46.3	73	29	44
		KMB-GC-30	GC	4.52	"?5,989.0"	1768885.700	9692155.900	2023a	49.2	#N/A	15	#N/A	#N/A	#N/A	#N/A	271.4	13	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	CPT-72L	20.11	0.75			0.86			184.82	675.18	FP-JPC-61	52.33333333	MV	276.3		FP-JPC-61	52.3	57				FP-JPC-61	48.49	67	29	38
		NEG-GC-39	GC	5.92	"?5,803.4"	1780372.100	9693913.400	2023a	114.8	#N/A	35	#N/A	#N/A	#N/A	#N/A	772.6	37	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	CPT-72L	20.12	0.75			0.86			184.89	675.11	KMB-JPC-51	1	MV	27		FP-JPC-81	0	128				FP-JPC-61	49.3	65	23	42
		KMB-GC-42	GC	6.85	"?5,918.7"	1780010.500	9692852.100	2023b	0	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	4.2	4.2	4.2	0.2	0.2	0.2	CPT-72L	20.13	0.75			0.86			184.98	675.02	KMB-JPC-51	4	MV	64.3		FP-JPC-81	1.42	121				FP-JPC-61	52.3	63	28	35
		KMB-GC-45	GC	6.67	"?6,105.7"	1778694.300	9691821.800	2023b	1.6	#N/A	0.5	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	52.2	87.7	125.3	2.5	4.2	6	CPT-72L	20.14	0.76			0.86			185.06	674.94	KMB-JPC-51	7	MV	43.6		FP-JPC-81	4.42	112				FP-JPC-81	0	96	35	61
		KMB-GC-47	GC	6.9	"?6,169.9"	1778002.900	9690148.600	2023b	4.9	#N/A	1.5	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	35.5	41.8	48	1.7	2	2.3	CPT-72L	20.15	0.76			0.86			185.14	674.86	KMB-JPC-51	10	MV	50.8		FP-JPC-81	7.42	72				FP-JPC-81	1.42	114	54	60
		NEG-GC-60	GC	5.5	"?5,700.0"	1787218.400	9702406.600	2023b	9.8	#N/A	3	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	44.4	52.2	60	2.1	2.5	2.9	CPT-72L	20.16	0.76			0.87			185.22	684.78	KMB-JPC-51	13	MV	64.3		FP-JPC-81	7.42	78				FP-JPC-81	4.42	92	29	63
		SFZ-GC-80	GC	5.5	"?5,995.0"	1770197.000	9675702.100	2023b	16.4	#N/A	5	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	79.9	94	108.1	3.8	4.5	5.2	CPT-72L	20.16	0.76			0.87			185.31	684.69	KMB-JPC-51	16	MV	107.9		FP-JPC-81	10.42	99				FP-JPC-81	7.42	58	31	27
		SWG-GC-87	GC	3	"?5,484.0"	1761643.900	9684818.100	2023b	32.8	#N/A	10	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	159.7	187.9	216.1	7.7	9	10.4	CPT-72L	20.17	0.77			0.87			185.38	684.62	KMB-JPC-51	19	MV	148.3		FP-JPC-81	13.42	96				FP-JPC-81	7.42	61	26	35
		KMB-GC-89	GC	8.15	"?5,884.0"	1785950.900	9680671.000	2023b	49.2	#N/A	15	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	230.7	271.4	312.2	11.1	13	15	CPT-72L	20.18	0.77			0.87			185.46	684.54	KMB-JPC-51	22	MV	112.7		FP-JPC-81	16.42	58				FP-JPC-81	10.42	103	49	54
		SWG-JPC-18	JPC	34.17	"?5,824.0"	1759689.800	9685672.800	2023b	114.8	#N/A	35	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	656.7	772.6	888.4	31.5	37	42.6	CPT-72L	20.19	0.77			0.87			185.55	684.45	KMB-JPC-51	25	MV	115.7		FP-JPC-81	19.42	92				FP-JPC-81	13.42	105	55	50
		SWG-JPC-21	JPC	37.67	"?5,841.5"	1755076.300	9682222.700																	CPT-72L	20.2	0.77			0.88			185.63	694.37	KMB-JPC-51	28	MV	172		FP-JPC-81	22.42	114				FP-JPC-81	16.42	75	42	33
		KMB-JPC-23	JPC	51.71	"?5,882.0"	1766243.600	9683794.200																	CPT-72L	20.21	0.77			0.88			185.71	694.29	KMB-JPC-51	31	MV	278.9		FP-JPC-81	25.42	84				FP-JPC-81	19.42	95	46	49
		KMB-JPC-29	JPC	58.65	"?5,905.0"	1767557.100	9692092.800																	CPT-72L	20.22	0.77			0.88			185.79	694.21	KMB-JPC-51	34	MV	241.7		FP-JPC-81	28.42	81				FP-JPC-81	22.42	122	65	57
		KMB-JPC-31	JPC	56.77	"?5,987.8"	1768863.100	9692151.900																	CPT-72L	20.23	0.77			0.88			185.87	694.13	KMB-JPC-51	37	MV	251		FP-JPC-81	31.42	70				FP-JPC-81	25.42	94	51	43
		KMB-JPC-36	JPC	56.21	"?5,885.0"	1785948.200	9680684.100																	CPT-72L	20.23	0.78			0.88			185.95	694.05	KMB-JPC-51	40	MV	353.3		FP-JPC-81	34.42	75				FP-JPC-81	28.42	89	48	41
		KMB-JPC-40	JPC	46.69	"?5,917.0"	1780023.700	9692860.200																	CPT-72L	20.24	0.78			0.88			186.03	693.97	KMB-JPC-51	43	MV	353.3		FP-JPC-81	37.42	52				FP-JPC-81	31.42	78	38	40
