PROJ_NAME	PROJ_LOC	LOCA_ID	LOCA_TYPE	LOCA_FDEO	LOCA_GL	LOCA_NATN	LOCA_NATE	LOCA_LOCA	PROJ_ID	GEOL_TOP	GEOL_SUW	GEOL_TOP	GEOL_SUW	GEOL_SUW_LE	GEOL_SUW_BE	GEOL_SUW_HE	GEOL_SU	GEOL_SU	GEOL_SU_LE	GEOL_SU_BE	GEOL_SU_HE	GEOL_SU_LE	GEOL_SU_BE	GEOL_SU_HE	LOCA_ID	SCPT_DPTH	SCPT_RES	SCPT_FRES	SCPT_PWP2	SCPT_QT	SCPT_BDEN	SCPT_CPO	SCPT_CPOD	SCPT_QNET	LOCA_ID	IVAN_DPTH	IVAN_DPTH	IVAN_TYPE	IVAN_IVAN	IVAN_IVAR	LOCA_ID	IDEN_DPTH	IDEN_MC	IDEN_IDEN	LOCA_ID	SPEC_DPTH	TRIT_CU	LOCA_ID	SPEC_DPTH	LLPL_LL	LLPL_PL	LLPL_PI	LLPL_LI
x	x	x	x	ft	ft	ft	ft	x	x	ft	pcf	m	kN/m3	kN/m3	kN/m3	kN/m3	psf	kPa	psf	psf	psf	kPa	kPa	kPa	x	m	MPa	MPa	kPa	MPa	pcf	kPa	kPa	kPa	x	in	ft	x	psf	ksf	x	ft	%	pcf	x	ft	ksf	x	ft	%	%	%	%
PROJ_NAME_x	PROJ_LOC_x	LOCA_ID_x	LOCA_TYPE_x	LOCA_FDEO_ft	LOCA_GL_ft	LOCA_NATN_ft	LOCA_NATE_ft	LOCA_LOCA_x	PROJ_ID_x	GEOL_TOP_ft	GEOL_SUW_pcf	GEOL_TOP_m	GEOL_SUW_kN/m3	GEOL_SUW_LE_kN/m3	GEOL_SUW_BE_kN/m3	GEOL_SUW_HE_kN/m3	GEOL_SU_psf	GEOL_SU_kPa	GEOL_SU_LE_psf	GEOL_SU_BE_psf	GEOL_SU_HE_psf	GEOL_SU_LE_kPa	GEOL_SU_BE_kPa	GEOL_SU_HE_kPa	LOCA_ID_x	SCPT_DPTH_m	SCPT_RES_MPa	SCPT_FRES_MPa	SCPT_PWP2_kPa	SCPT_QT_MPa	SCPT_BDEN_pcf	SCPT_CPO_kPa	SCPT_CPOD_kPa	SCPT_QNET_kPa	LOCA_ID_x	IVAN_DPTH_in	IVAN_DPTH_ft	IVAN_TYPE_x	IVAN_IVAN_psf	IVAN_IVAR_ksf	LOCA_ID_x	IDEN_DPTH_ft	IDEN_MC_%	IDEN_IDEN_pcf	LOCA_ID_x	SPEC_DPTH_ft	TRIT_CU_ksf	LOCA_ID_x	SPEC_DPTH_ft	LLPL_LL_%	LLPL_PL_%	LLPL_PI_%	LLPL_LI_%
NaKika	Green Canyon	BC-001	BC		"5,717"	"10,381,345.34"	"1,179,819.53"	Kepler																	Ariel-CPT3	0.03	0			0			0.23	-0.23	JPC-003	56	4.67	TV	61.55		JPC-003	0.4	172.9	16.6				JPC-001	0.4	126	28	98	
		BC-002	BC		"5,737"	"10,380,590.16"	"1,180,002.61"	Kepler																	Ariel-CPT3	0.04	0			0			0.32	-0.32	JPC-003	92	7.67	TV	41.03		JPC-003	1.8	129.2	21				JPC-001	0.6	130	28	102	1.4
		JPC-001	JPC		"5,717"	"10,381,345.34"	"1,179,819.53"	Kepler																	Ariel-CPT3	0.05	0.01			0.01			0.42	9.58	JPC-003	19	1.58	MV	37.578		JPC-003	4.1	158.5	18.5				JPC-001	2	126	30	96	1.28
		JPC-002	JPC		"5,737"	"10,380,590.16"	"1,180,002.61"	Kepler																	Ariel-CPT3	0.06	0.01			0.01			0.51	9.49	JPC-003	56	4.67	MV	79.331		JPC-003	11.87	133.28	21.5				JPC-001	3.7				
		CPT-001	CPT		"5,712"	"10,381,345.34"	"1,179,819.53"	Kepler																	Ariel-CPT3	0.07	0.01			0.01			0.6	9.4	JPC-003	92	7.67	MV	34.237		JPC-003	11.77	132.47	21				JPC-001	3.8				
		CPT-002	CPT		"5,733"	"10,380,608.09"	"1,179,804.02"	Kepler																	Ariel-CPT3	0.08	0.01			0.01			0.69	9.31	JPC-003	128	10.67	TV	41.03		JPC-003	17.77	85.64	32.1				JPC-001	4				
		BC-003	BC		"6,087"	"10,374,400.06"	"1,215,926.29"	Ariel																	Ariel-CPT3	0.09	0.01			0.01			0.79	9.21	JPC-003	164	13.67	TV	61.55		JPC-003	17.97	81.63	28.5				JPC-001	4.1	121	28	93	1.17
		BC-004	BC		"6,087"	"10,374,087.24"	"1,215,118.02"	Ariel																	Ariel-CPT3	0.1	0.01			0.01			0.88	9.12	JPC-003	200	16.67	TV	82.07		JPC-003	21	85.8	31.4				JPC-001	6.15	138	26	112	1.15
