HEADING,LOCA_ID,LOCA_TYPE,LOCA_STAT,LOCA_NATE,LOCA_NATN,LOCA_GL,LOCA_REM,LOCA_FDEP,LOCA_STAR,LOCA_PURP,LOCA_TERM,LOCA_ENDD,LOCA_DATM,LOCA_LAT,LOCA_LON,LOCA_LLZ,LOCA_WDEP
UNIT,,,,m,m,m,,m,yyyy-mm-dd,,,yyyy-mm-dd,,,,,m
TYPE,ID,PA,PA,2DP,2DP,2DP,X,2DP,DT,X,X,DT,X,DMS,DMS,X,2DP
DATA,TNW001-PCPT,SCP,Final,663951.70,5987292.48,,,21.27,2020-03-04,,,,,,,,38.99
DATA,TNW001-SCPT,SCP,Final,663948.23,5987293.18,,,19.11,2020-03-17,,,,,,,,38.16
DATA,TNW002-PCPT,SCP,Final,664985.00,5987189.19,,,20.77,2020-03-04,,,,,,,,38.57
DATA,TNW003-PCPT,SCP,Final,666369.02,5987726.61,,,8.36,2020-03-05,,,,,,,,38.42
DATA,TNW004-PCPT,SCP,Final,668135.52,5987518.68,,,19.14,2020-03-05,,,,,,,,38.78
DATA,TNW005-PCPT,SCP,Final,669201.59,5987318.56,,,29.14,2020-03-03,,,,,,,,38.30
DATA,TNW005-SCPT,SCP,Final,669198.47,5987321.30,,,17.73,2020-03-18,,,,,,,,38.08
DATA,TNW005-TCPT,SCP,Final,669198.18,5987318.00,,,6.39,2020-03-07,,,,,,,,38.39
DATA,TNW005-TCPT-A,SCP,Final,669201.00,5987315.31,,,2.39,2020-03-07,,,,,,,,38.31
DATA,TNW006-PCPT,SCP,Final,670954.14,5987396.31,,,11.33,2020-03-03,,,,,,,,38.21
DATA,TNW006-PCPT-A,SCP,Final,670953.88,5987398.99,,,8.48,2020-03-18,,,,,,,,38.21
DATA,TNW007-PCPT,SCP,Final,672148.48,5987422.87,,,14.38,2020-03-03,,,,,,,,37.30
DATA,TNW007-PCPT-A,SCP,Final,672145.53,5987421.74,,,10.03,2020-03-18,,,,,,,,37.89
DATA,TNW008-PCPT,SCP,Final,674441.87,5987453.55,,,24.73,2020-03-19,,,,,,,,37.75
DATA,TNW009-PCPT,SCP,Final,676849.76,5987860.85,,,35.54,2020-02-26,,,,,,,,37.20
DATA,TNW009-TCPT,SCP,Final,676849.85,5987857.78,,,6.18,2020-03-23,,,,,,,,37.34
DATA,TNW010-PCPT,SCP,Final,678080.51,5987770.20,,,13.07,2020-02-26,,,,,,,,37.40
DATA,TNW011-PCPT,SCP,Final,678975.77,5987811.35,,,12.88,2020-02-26,,,,,,,,37.60
DATA,TNW012-PCPT,SCP,Final,682141.07,5987857.61,,,16.52,2020-02-14,,,,,,,,35.30
DATA,TNW012-TCPT,SCP,Final,682141.32,5987856.87,,,6.46,2020-02-14,,,,,,,,36.00
DATA,TNW013-PCPT,SCP,Final,685302.28,5988057.74,,,13.93,2020-03-22,,,,,,,,34.40
DATA,TNW013-TCPT,SCP,Final,685302.59,5988054.08,,,5.89,2020-03-22,,,,,,,,35.20
DATA,TNW014-PCPT,SCP,Final,685612.68,5988458.83,,,23.52,2020-03-22,,,,,,,,35.00
DATA,TNW015-PCPT,SCP,Final,686774.05,5988014.87,,,37.47,2020-02-27,,,,,,,,34.80
