HEADING,LOCA_ID,SCPG_TESN,SCPT_DPTH,SCPT_RES,SCPT_FRES,SCPT_PWP2,SCPT_TEMP,SCPT_FRR,SCPT_QT,SCPT_QNET,SCPT_BQ,SCPT_CIC1,SCPT_CISB,SCPT_NQC1,SCPT_NRF1,SCPT_CUW1,FILE_FSET
UNIT,,,m,MN/m2,kN/m2,kN/m2,DegC,%,MN/m2,MN/m2,,,,,,kN/m3,
TYPE,ID,X,2DP,3DP,3DP,1DP,1DP,3DP,3DP,3DP,4DP,2DP,2DP,1DP,3DP,2DP,X
DATA,TNW052-PCPT,1,0.05,0.343,,,,,0.345,0.344,0.0102,,,,,,
DATA,TNW052-PCPT,1,0.07,0.468,,4.5,,,0.47,0.468,0.0083,,,,,,
DATA,TNW052-PCPT,1,0.09,0.574,,4.2,,,0.575,0.574,0.0059,,,,,,
DATA,TNW052-PCPT,1,0.11,0.677,3.452,4.4,,0.522,0.679,0.677,0.0047,,,,,,
DATA,TNW052-PCPT,1,0.13,0.79,3.45,4.3,,0.446,0.792,0.789,0.0039,,,,,,
DATA,TNW052-PCPT,1,0.15,0.875,3.48,4.5,,0.404,0.876,0.873,0.0033,,,,,,
DATA,TNW052-PCPT,1,0.17,0.921,3.58,4.3,,0.391,0.923,0.92,0.0028,,,,,,
DATA,TNW052-PCPT,1,0.19,0.913,3.83,4.4,,0.418,0.915,0.911,0.0027,,,,,,
DATA,TNW052-PCPT,1,0.21,0.887,4.263,4.8,,0.477,0.889,0.885,0.0029,,,,,,
DATA,TNW052-PCPT,1,0.23,0.854,4.81,5.3,,0.558,0.856,0.851,0.0034,,,,,,
DATA,TNW052-PCPT,1,0.25,0.823,5.366,5.7,,0.646,0.825,0.82,0.0036,2.93,4.19,13.9,3.623,20,
DATA,TNW052-PCPT,1,0.27,0.797,5.833,6.3,,0.727,0.8,0.794,0.0042,2.88,4.13,14.6,3.256,20,
DATA,TNW052-PCPT,1,0.29,0.776,6.283,7.4,,0.805,0.779,0.773,0.0053,2.88,4.11,14.7,3.202,20,
DATA,TNW052-PCPT,1,0.31,0.776,6.016,8.5,,0.778,0.78,0.773,0.0065,2.89,4.11,14.6,3.297,20,
DATA,TNW052-PCPT,1,0.33,0.788,6.034,9.9,,0.77,0.792,0.786,0.0078,2.91,4.11,14.3,3.536,20,
DATA,TNW052-PCPT,1,0.35,0.805,6.142,10.7,,0.769,0.809,0.802,0.0087,2.91,4.09,14,3.446,20,
DATA,TNW052-PCPT,1,0.37,0.842,6.065,10.6,,0.73,0.846,0.839,0.0085,2.92,4.08,14.8,3.789,20,
DATA,TNW052-PCPT,1,0.39,0.906,6.943,10.6,,0.785,0.91,0.902,0.0073,2.89,4.03,15.3,3.613,20,
DATA,TNW052-PCPT,1,0.41,0.875,8.173,11.3,,0.945,0.88,0.871,0.0077,2.87,3.97,15.6,3.332,20,
DATA,TNW052-PCPT,1,0.43,0.902,9.087,11.7,,1.036,0.907,0.898,0.0085,2.82,3.89,16,2.871,20,
DATA,TNW052-PCPT,1,0.45,0.969,9.954,10.1,,1.03,0.973,0.964,0.0055,2.82,3.87,16.4,3.02,20,
DATA,TNW052-PCPT,1,0.47,0.923,10.833,12.8,,1.174,0.928,0.918,0.0079,2.84,3.87,16.5,3.282,20,
DATA,TNW052-PCPT,1,0.49,0.937,9.847,15.4,,1.044,0.943,0.933,0.0105,2.9,3.9,15.9,3.813,20,
DATA,TNW052-PCPT,1,0.51,0.914,10.367,16.8,,1.129,0.921,0.911,0.0127,2.92,3.92,15.3,3.934,20,
DATA,TNW052-PCPT,1,0.53,0.895,9.794,18,,1.092,0.902,0.892,0.0138,2.92,3.91,15.8,4.106,20,
DATA,TNW052-PCPT,1,0.55,0.886,9.785,19.2,,1.105,0.894,0.883,0.0151,2.84,3.81,17.4,3.396,20,
DATA,TNW052-PCPT,1,0.57,0.887,9.669,20.4,,1.092,0.895,0.884,0.0161,2.77,3.71,17.6,2.681,20,
DATA,TNW052-PCPT,1,0.59,0.913,9.647,21.7,,1.073,0.922,0.91,0.0169,2.76,3.68,16.5,2.371,20,
DATA,TNW052-PCPT,1,0.61,0.978,9.695,22.4,,1.024,0.988,0.975,0.0166,2.8,3.71,15.8,2.607,20,
DATA,TNW052-PCPT,1,0.63,1.074,9.69,22.6,,0.944,1.083,1.071,0.0152,2.83,3.74,16.1,2.967,20,
DATA,TNW052-PCPT,1,0.65,1.225,9.799,21.7,,0.856,1.234,1.221,0.0128,2.87,3.77,15.3,3.29,20,
DATA,TNW052-PCPT,1,0.67,1.384,10.126,19.7,,0.776,1.392,1.379,0.0099,2.93,3.83,14.6,3.937,20,
DATA,TNW052-PCPT,1,0.69,1.575,10.83,16.3,,0.702,1.582,1.568,0.0067,2.93,3.82,14.3,3.779,20,
DATA,TNW052-PCPT,1,0.71,1.754,11.724,13.6,,0.703,1.76,1.745,0.0042,2.79,3.65,15.8,2.471,20,
DATA,TNW052-PCPT,1,0.73,1.94,12.775,12.3,,0.689,1.946,1.931,0.0028,2.65,3.48,17.2,1.611,20,
